Ticker,Full_Ticker,Name,Sector,Industry_GICS,Index_Membership,Market_Cap,Net_Debt,Minority_Interest,EV,EBITDA,Net_Income,Equity,Avg_EBITDA_Margin_Forecast_10y,EBITDA_Forecast_CAGR_10y,Avg_Net_Income_Margin_Forecast_10y,Net_Income_Forecast_CAGR_10y,ROE,Beta_5y,Net_Debt_perc_EV,EV_TTM_EBITDA,Market_Cap_TTM_Net_Income,Market_Cap_BV_Equity
AXSM,NASDAQGM:AXSM,"Axsome Therapeutics, Inc.",Healthcare,Pharmaceuticals,"Nasdaq Composite, Russell 2000, Russell 3000"," 3,231 ",-154 , -   ," 3,077 ",-96 ,-99 , 135 ,-355%,NM,-288%,NM,-139%, 2.60 ,-5%,,  , 23.9 
GKOS,NYSE:GKOS,Glaukos Corporation,Healthcare,Healthcare Equipment & Supplies,"Russell 2000, Russell 3000, S&P Smallcap 600"," 3,331 ",-121 , -   ," 3,211 ",-54 ,-73 , 662 ,3%,NM,-2%,4%,-17%, 1.87 ,-4%,,  , 5.0 
CDNA,NASDAQGM:CDNA,"CareDx, Inc",Healthcare,Biotechnology,"Nasdaq Composite, Russell 2000, Russell 3000"," 3,797 ",-195 , -   ," 3,602 ",-15 ,-20 , 269 ,7%,NM,-4%,NM,-11%, 0.80 ,-5%,,  , 14.1 
NSA,NYSE:NSA,National Storage Affiliates Trust,Real Estate,Equity Real Estate Investment Trusts (REITs),"Russell 2000, Russell 3000, S&P Smallcap 600"," 2,473 "," 1,837 ", 445 ," 4,754 ", 251 , 44 ," 1,360 ",62%,6%,8%,NM,4%, 0.38 ,39%,18.9, 56.7 , 1.8 
PACB,NASDAQGS:PACB,"Pacific Biosciences of California, Inc.",Healthcare,Life Sciences Tools & Services,"Nasdaq Composite, Russell 2000, Russell 3000"," 5,021 ",-166 , -   ," 4,855 ",-90 ,-46 , 129 ,-14%,NM,-21%,NM,-51%, 1.12 ,-3%,,  , 38.8 
SPB,NYSE:SPB,"Spectrum Brands Holdings, Inc.",Consumer Staples,Household Products,"Russell 1000, Russell 3000"," 3,202 "," 2,056 ", 8 ," 5,266 ", 508 , 98 ," 1,416 ",15%,4%,6%,13%,5%, 1.90 ,39%,10.4, 32.7 , 2.3 
CNO,NYSE:CNO,"CNO Financial Group, Inc.",Financials,Insurance,"Russell 2000, Russell 3000, S&P Midcap 400"," 3,079 "," 3,049 ", -   ," 6,128 ", 732 , 468 ," 5,084 ",15%,-3%,8%,-4%,10%, 1.43 ,50%,8.4, 6.6 , 0.6 
AVT,NASDAQGS:AVT,"Avnet, Inc.",Information Technology,"Electronic Equipment, Instruments & Components","Nasdaq Composite, Russell 1000, Russell 3000, S&P Midcap 400"," 3,365 "," 1,201 ", -   ," 4,566 ", 353 ,-92 ," 3,778 ",2%,1%,1%,NM,-2%, 1.49 ,26%,12.9,  , 0.9 
HL,NYSE:HL,Hecla Mining Company,Materials,Metals & Mining,"Russell 2000, Russell 3000"," 3,133 ", 423 , -   ," 3,556 ", 239 ,-26 ," 1,694 ",36%,7%,23%,NM,-2%, 2.09 ,12%,14.9,  , 1.8 
APAM,NYSE:APAM,Artisan Partners Asset Management Inc.,Financials,Capital Markets,"Russell 2000, Russell 3000"," 3,048 ", 64 , 69 ," 3,181 ", 333 , 184 , 214 ,46%,8%,30%,11%,123%, 1.91 ,2%,9.6, 16.6 , 14.2 
OFC,NYSE:OFC,Corporate Office Properties Trust,Real Estate,Equity Real Estate Investment Trusts (REITs),"Russell 1000, Russell 3000, S&P Midcap 400"," 2,893 "," 2,207 ", 64 ," 5,164 ", 298 , 58 ," 1,673 ",52%,3%,17%,-3%,4%, 1.03 ,43%,17.3, 49.5 , 1.7 
CAR,NASDAQGS:CAR,"Avis Budget Group, Inc.",Industrials,Road & Rail,"Dow Jones Composite Average, Dow Jones Transportation Average, Nasdaq Composite, Russell 2000, Russell 3000, S&P Midcap 400"," 2,416 "," 13,678 ", -   ," 16,094 ", 109 ,-452 ,-76 ,10%,3%,2%,5%,-183%, 2.31 ,85%,147.7,  ,  
ALKS,NASDAQGS:ALKS,Alkermes plc,Healthcare,Biotechnology,"Nasdaq Composite, Russell 1000, Russell 3000"," 3,419 ",-184 , -   ," 3,235 ", 4 ,-74 ," 1,084 ",5%,NM,9%,NM,-7%, 1.20 ,-6%,849.9,  , 3.2 
APLS,NASDAQGS:APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,Biotechnology,"Nasdaq Composite, Russell 2000, Russell 3000"," 4,213 ",-355 , -   ," 3,858 ",-449 ,-536 , 106 ,-1169%,NM,-1500%,NM,-437%, 1.44 ,-9%,,  , 39.8 
NUVA,NASDAQGS:NUVA,"NuVasive, Inc.",Healthcare,Healthcare Equipment & Supplies,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Midcap 400"," 2,681 ", 538 , -   ," 3,219 ", 187 ,-9 , 899 ,26%,5%,11%,11%,-1%, 1.30 ,17%,17.2,  , 3.0 
STL,NYSE:STL,Sterling Bancorp,Financials,Banks,"Russell 1000, Russell 3000, S&P Midcap 400"," 3,353 ", 682 , -   ," 4,034 ", -   , 256 ," 4,558 ",4%,0%,33%,NM,6%, 1.67 ,17%,, 13.1 , 0.7 
USM,NYSE:USM,United States Cellular Corporation,Communication Services,Wireless Telecommunication Services,"Russell 1000, Russell 3000"," 2,489 "," 2,169 ", 25 ," 4,683 ", 879 , 242 ," 4,436 ",21%,0%,3%,1%,6%, 0.71 ,46%,5.3, 10.3 , 0.6 
NHI,NYSE:NHI,"National Health Investors, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs),"Russell 2000, Russell 3000"," 3,133 "," 1,496 ", 11 ," 4,640 ", 308 , 190 ," 1,504 ",84%,1%,45%,1%,13%, 0.88 ,32%,15.1, 16.5 , 2.1 
LIVN,NASDAQGS:LIVN,LivaNova PLC,Healthcare,Healthcare Equipment & Supplies,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Midcap 400"," 3,341 ", 478 , -   ," 3,819 ", 18 ,-208 ," 1,351 ",22%,15%,11%,NM,-15%, 0.75 ,13%,207.7,  , 2.5 
CSOD,NASDAQGS:CSOD,"Cornerstone OnDemand, Inc.",Information Technology,Software,"Nasdaq Composite, Russell 2000, Russell 3000"," 2,998 "," 1,150 ", -   ," 4,147 ", 87 ,-32 , 245 ,34%,30%,16%,NM,-17%, 1.39 ,28%,47.9,  , 12.2 
APG,NYSE:APG,APi Group Corporation,Industrials,Construction & Engineering,"Russell 2000, Russell 3000"," 3,107 ", 825 , -   ," 3,932 ",-312 ,-829 ," 1,598 ",12%,NM,8%,NM,-52%, 1.20 ,21%,,  , 1.9 
FTI,NYSE:FTI,TechnipFMC plc,Energy,Energy Equipment & Services,"S&P 500, S&P 500 Energy Sector"," 4,027 ", 337 , 87 ," 4,451 "," 1,308 ","-5,662 "," 4,276 ",9%,-3%,2%,NM,-79%, 2.51 ,8%,3.4,  , 0.9 
CWK,NYSE:CWK,Cushman & Wakefield plc,Real Estate,Real Estate Management & Development,"Russell 2000, Russell 3000"," 3,245 "," 3,064 ", 1 ," 6,309 ", 318 ,-190 ," 1,047 ",7%,5%,4%,114%,-17%, 1.53 ,49%,19.9,  , 3.1 
SFM,NASDAQGS:SFM,"Sprouts Farmers Market, Inc.",Consumer Staples,Food & Staples Retailing,"Nasdaq Composite, Russell 1000, Russell 3000, S&P Midcap 400"," 2,384 "," 1,367 ", -   ," 3,751 ", 473 , 251 , 808 ,7%,5%,3%,6%,37%, 0.27 ,36%,7.9, 9.5 , 3.0 
SPT,NASDAQCM:SPT,"Sprout Social, Inc.",Information Technology,Software,"Nasdaq Composite, Russell 2000, Russell 3000"," 2,937 ",-142 , -   ," 2,795 ",-48 ,-52 , 157 ,6%,NM,4%,NM,-66%, -   ,-5%,,  , 18.8 
EVTC,NYSE:EVTC,"EVERTEC, Inc.",Information Technology,IT Services,"Russell 2000, Russell 3000, S&P Smallcap 600"," 2,793 ", 409 , 4 ," 3,207 ", 190 , 97 , 310 ,47%,5%,32%,7%,35%, 1.14 ,13%,16.9, 28.7 , 9.0 
SWAV,NASDAQGS:SWAV,"ShockWave Medical, Inc.",Healthcare,Healthcare Equipment & Supplies,"Nasdaq Composite, Russell 2000, Russell 3000"," 3,496 ",-190 , -   ," 3,306 ",-63 ,-65 , 237 ,-1%,NM,-12%,NM,-37%, -   ,-6%,,  , 14.7 
OVV,NYSE:OVV,Ovintiv Inc.,Energy,"Oil, Gas & Consumable Fuels","Russell 2000, Russell 3000"," 3,720 "," 8,139 ", -   ," 11,859 "," 2,150 ","-5,489 "," 4,352 ",41%,1%,6%,8%,-77%, 4.66 ,69%,5.5,  , 0.9 
NNI,NYSE:NNI,"Nelnet, Inc.",Financials,Consumer Finance,"Russell 2000, Russell 3000"," 2,598 "," 19,119 ", 3 ," 21,720 ", -   , 160 ," 2,403 ",13%,4%,25%,7%,7%, 0.69 ,88%,, 16.3 , 1.1 
PLMR,NASDAQGS:PLMR,"Palomar Holdings, Inc.",Financials,Insurance,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Smallcap 600"," 2,317 ",-14 , -   ," 2,303 ", 23 , 19 , 362 ,44%,30%,26%,30%,7%, -   ,-1%,99.1, 122.1 , 6.4 
XEC,NYSE:XEC,Cimarex Energy Co.,Energy,"Oil, Gas & Consumable Fuels","Russell 1000, Russell 3000, S&P Midcap 400"," 3,708 "," 1,919 ", -   ," 5,627 ", 986 ,"-2,376 "," 1,625 ",66%,1%,23%,NM,-88%, 2.53 ,34%,5.7,  , 2.3 
PPBI,NASDAQGS:PPBI,"Pacific Premier Bancorp, Inc.",Financials,Banks,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Smallcap 600"," 2,826 ",-474 , -   ," 2,352 ", -   , 34 ," 2,688 ",12%,15%,28%,5%,1%, 1.34 ,-20%,, 82.4 , 1.1 
KTOS,NASDAQGS:KTOS,"Kratos Defense & Security Solutions, Inc.",Industrials,Aerospace & Defense,"Nasdaq Composite, Russell 2000, Russell 3000"," 3,201 ", 10 , 15 ," 3,226 ", 58 , 5 , 850 ,12%,9%,8%,26%,1%, 1.06 ,0%,55.9, 711.4 , 3.8 
HMSY,NASDAQGS:HMSY,HMS Holdings Corp.,Healthcare,Health Care Technology,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Smallcap 600"," 3,239 ", 47 , -   ," 3,287 ", 118 , 55 , 912 ,28%,6%,17%,6%,6%, 0.78 ,1%,27.8, 59.2 , 3.6 
CMC,NYSE:CMC,Commercial Metals Company,Materials,Metals & Mining,"Russell 2000, Russell 3000, S&P Midcap 400"," 2,398 ", 665 , 0 ," 3,063 ", 577 , 280 ," 1,889 ",10%,-1%,4%,-3%,16%, 1.24 ,22%,5.3, 8.6 , 1.3 
MGEE,NASDAQGS:MGEE,"MGE Energy, Inc.",Utilities,Electric Utilities,"Nasdaq Composite, Russell 2000, Russell 3000"," 2,497 ", 505 , -   ," 3,002 ", 192 , 93 , 974 ,39%,3%,19%,3%,10%, 0.46 ,17%,15.6, 26.8 , 2.6 
ABM,NYSE:ABM,ABM Industries Incorporated,Industrials,Commercial Services & Supplies,"Russell 2000, Russell 3000, S&P Smallcap 600"," 2,566 ", 513 , -   ," 3,079 ", 373 , 0 ," 1,500 ",5%,0%,3%,3%,0%, 1.26 ,17%,8.3," 8,554.0 ", 1.7 
NOVA,NYSE:NOVA,Sunnova Energy International Inc.,Utilities,Independent Power & Renewable Electricity Producers,"Russell 2000, Russell 3000"," 4,629 "," 1,860 ", 289 ," 6,778 ", 40 ,-178 ," 1,011 ",48%,23%,-48%,NM,-26%, -   ,27%,168.5,  , 4.6 
FUL,NYSE:FUL,H.B. Fuller Company,Materials,Chemicals,"Russell 2000, Russell 3000, S&P Smallcap 600"," 2,750 "," 1,858 ", 1 ," 4,608 ", 362 , 115 ," 1,314 ",15%,3%,7%,6%,9%, 1.74 ,40%,12.7, 23.8 , 2.1 
PDCO,NASDAQGS:PDCO,"Patterson Companies, Inc.",Healthcare,Healthcare Providers & Services,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Midcap 400"," 3,073 ", 661 , 2 ," 3,736 ", 302 ,-507 , 893 ,6%,4%,3%,NM,-43%, 1.59 ,18%,12.4,  , 3.4 
AIT,NYSE:AIT,"Applied Industrial Technologies, Inc.",Industrials,Trading Companies & Distributors,"Russell 2000, Russell 3000, S&P Smallcap 600"," 2,998 ", 587 , -   ," 3,585 ", 281 , 20 , 885 ,10%,2%,5%,23%,2%, 1.48 ,16%,12.8, 149.7 , 3.4 
BOH,NYSE:BOH,Bank of Hawaii Corporation,Financials,Banks,"Russell 1000, Russell 3000, S&P Midcap 400"," 3,039 ",-322 , -   ," 2,717 ", -   , 170 ," 1,362 ",3%,0%,26%,NM,13%, 1.28 ,-12%,, 17.9 , 2.2 
BXS,NYSE:BXS,BancorpSouth Bank,Financials,Banks,"Russell 2000, Russell 3000, S&P Midcap 400"," 2,780 ", 712 , -   ," 3,492 ", -   , 225 ," 2,783 ",7%,6%,22%,0%,9%, 1.34 ,20%,, 12.3 , 1.0 
VSH,NYSE:VSH,"Vishay Intertechnology, Inc.",Information Technology,"Electronic Equipment, Instruments & Components","Russell 2000, Russell 3000, S&P Midcap 400"," 2,899 ",-212 , 3 ," 2,690 ", 347 , 99 ," 1,539 ",18%,3%,8%,5%,7%, 1.40 ,-8%,7.7, 29.2 , 1.9 
FIBK,NASDAQGS:FIBK,"First Interstate BancSystem, Inc.",Financials,Banks,"Nasdaq Composite, Russell 2000, Russell 3000"," 2,508 ",-846 , -   ," 1,662 ", -   , 167 ," 1,978 ",6%,0%,27%,-1%,8%, 1.14 ,-51%,, 15.0 , 1.3 
CVBF,NASDAQGS:CVBF,CVB Financial Corp.,Financials,Banks,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Smallcap 600"," 2,575 ",-988 , -   ," 1,587 ", -   , 178 ," 1,982 ",4%,0%,38%,0%,9%, 0.63 ,-62%,, 14.4 , 1.3 
ARNC,NYSE:ARNC,Arconic Corporation,Materials,Metals & Mining,"Russell 2000, Russell 3000, S&P Smallcap 600"," 3,106 ", 618 , 14 ," 3,738 ", 501 , 171 ," 1,488 ",12%,6%,4%,7%,8%, -   ,17%,7.5, 18.2 , 2.1 
MEOH,NASDAQGS:MEOH,Methanex Corporation,Materials,Chemicals,Nasdaq Composite," 3,588 "," 2,155 ", 307 ," 6,050 ", 214 ,-121 ," 1,501 ",21%,5%,1%,-9%,-9%, 2.36 ,36%,28.2,  , 2.4 
GATX,NYSE:GATX,GATX Corporation,Industrials,Trading Companies & Distributors,"Russell 2000, Russell 3000, S&P Midcap 400"," 2,910 "," 5,098 ", -   ," 8,008 ", 655 , 190 ," 1,930 ",60%,3%,12%,-2%,11%, 1.07 ,64%,12.2, 15.3 , 1.5 
WPX,NYSE:WPX,"WPX Energy, Inc.",Energy,"Oil, Gas & Consumable Fuels","Russell 1000, Russell 3000, S&P Midcap 400"," 4,270 "," 3,018 ", -   ," 7,288 "," 1,158 ","-1,074 "," 4,548 ",57%,5%,6%,-1%,-19%, 3.72 ,41%,6.3,  , 0.9 
CRSR,NASDAQGS:CRSR,"Corsair Gaming, Inc.",Information Technology,"Technology Hardware, Storage & Peripherals",Nasdaq Composite," 3,764 ", 281 , -   ," 4,045 ", 157 , 66 , 389 ,12%,16%,9%,NM,17%, -   ,7%,25.8, 56.9 , 9.7 
FNB,NYSE:FNB,F.N.B. Corporation,Financials,Banks,"Russell 1000, Russell 3000, S&P Midcap 400"," 2,932 "," 2,142 ", -   ," 5,074 ", -   , 309 ," 4,951 ",6%,6%,24%,NM,6%, 1.36 ,42%,, 9.5 , 0.6 
AA,NYSE:AA,Alcoa Corporation,Materials,Metals & Mining,"Russell 2000, Russell 3000"," 4,018 ", 956 ," 1,624 "," 6,598 ", 986 ,-469 ," 5,019 ",16%,1%,1%,NM,-12%, 2.55 ,14%,6.7,  , 0.8 
UPWK,NASDAQGS:UPWK,Upwork Inc.,Industrials,Professional Services,"Nasdaq Composite, Russell 2000, Russell 3000"," 4,871 ",-118 , -   ," 4,753 ",-24 ,-29 , 282 ,8%,NM,7%,NM,-11%, 2.16 ,-2%,,  , 17.3 
CARG,NASDAQGS:CARG,"CarGurus, Inc.",Communication Services,Interactive Media & Services,"Nasdaq Composite, Russell 2000, Russell 3000"," 3,843 ",-172 , -   ," 3,671 ", 94 , 66 , 338 ,28%,20%,21%,17%,23%, 1.94 ,-5%,39.0, 58.6 , 11.4 
VC,NASDAQGS:VC,Visteon Corporation,Consumer Discretionary,Auto Components,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Midcap 400"," 3,490 ", 93 , 117 ," 3,700 ", 164 ,-39 , 502 ,11%,10%,5%,13%,-9%, 2.29 ,3%,22.6,  , 7.0 
IRBT,NASDAQGS:IRBT,iRobot Corporation,Consumer Discretionary,Household Durables,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Smallcap 600"," 2,463 ",-299 , -   ," 2,164 ", 183 , 154 , 782 ,11%,6%,7%,5%,22%, 1.46 ,-14%,11.8, 16.0 , 3.2 
LILA,NASDAQGS:LILA,Liberty Latin America Ltd.,Communication Services,Diversified Telecommunication Services,"Russell 2000, Russell 3000"," 2,542 "," 7,380 ", 751 ," 10,674 "," 1,357 ",-616 ," 3,528 ",38%,4%,5%,NM,-21%, 1.43 ,69%,7.9,  , 0.7 
CNMD,NYSE:CNMD,CONMED Corporation,Healthcare,Healthcare Equipment & Supplies,"Russell 2000, Russell 3000, S&P Smallcap 600"," 3,193 ", 742 , -   ," 3,935 ", 143 , 0 , 683 ,20%,5%,10%,16%,0%, 1.53 ,19%,27.4," 10,267.1 ", 4.7 
VSAT,NASDAQGS:VSAT,"Viasat, Inc.",Information Technology,Communications Equipment,"Nasdaq Composite, Russell 1000, Russell 3000, S&P Midcap 400"," 2,163 "," 1,858 ", 28 ," 4,049 ", 346 ,-2 ," 2,308 ",22%,7%,3%,NM,0%, 1.13 ,46%,11.7,  , 0.9 
AEO,NYSE:AEO,"American Eagle Outfitters, Inc.",Consumer Discretionary,Specialty Retail,"Russell 2000, Russell 3000, S&P Midcap 400"," 3,232 "," 1,172 ", -   ," 4,404 ", 147 ,-208 ," 1,068 ",11%,3%,5%,6%,-18%, 1.41 ,27%,29.9,  , 3.0 
ONB,NASDAQGS:ONB,Old National Bancorp,Financials,Banks,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Smallcap 600"," 2,632 "," 2,348 ", -   ," 4,980 ", -   , 201 ," 2,921 ",6%,0%,27%,NM,7%, 1.03 ,47%,, 13.1 , 0.9 
CWT,NYSE:CWT,California Water Service Group,Utilities,Water Utilities,"Russell 2000, Russell 3000, S&P Smallcap 600"," 2,607 "," 1,069 ", -   ," 3,676 ", 238 , 93 , 890 ,35%,4%,12%,4%,11%, 0.06 ,29%,15.4, 28.1 , 2.9 
COTY,NYSE:COTY,Coty Inc.,Consumer Staples,Personal Products,"Russell 1000, Russell 3000, S&P Midcap 400"," 5,553 "," 8,176 ", 308 ," 14,037 ", 237 ,-838 ," 4,488 ",17%,17%,5%,NM,-27%, 2.27 ,58%,59.2,  , 1.2 
SATS,NASDAQGS:SATS,EchoStar Corporation,Information Technology,Communications Equipment,"Nasdaq Composite, Russell 1000, Russell 3000"," 2,031 ", 16 , 59 ," 2,105 ", 406 ,-93 ," 3,613 ",30%,4%,0%,NM,-2%, 0.69 ,1%,5.2,  , 0.6 
AVA,NYSE:AVA,Avista Corporation,Utilities,Multi-Utilities,"Russell 2000, Russell 3000, S&P Smallcap 600"," 2,704 "," 2,377 ", -   ," 5,082 ", 436 , 122 ," 1,983 ",36%,2%,11%,-2%,6%, 0.52 ,47%,11.7, 22.3 , 1.4 
CSIQ,NASDAQGS:CSIQ,Canadian Solar Inc.,Information Technology,Semiconductors & Semiconductor Equipment,Nasdaq Composite," 3,139 "," 1,077 ", 315 ," 4,530 ", 533 , 208 ," 1,816 ",10%,1%,4%,2%,15%, 1.45 ,24%,8.5, 15.1 , 1.7 
PD,NYSE:PD,"PagerDuty, Inc.",Information Technology,Software,"Russell 1000, Russell 3000"," 3,823 ",-309 , -   ," 3,514 ",-51 ,-57 , 375 ,5%,NM,-1%,NM,-17%, -   ,-9%,,  , 10.2 
BKU,NYSE:BKU,"BankUnited, Inc.",Financials,Banks,"Russell 2000, Russell 3000, S&P Smallcap 600"," 3,086 "," 4,562 ", -   ," 7,648 ", -   , 202 ," 2,865 ",5%,NM,30%,1%,7%, 1.35 ,60%,, 15.3 , 1.1 
PK,NYSE:PK,Park Hotels & Resorts Inc.,Real Estate,Equity Real Estate Investment Trusts (REITs),"Russell 1000, Russell 3000, S&P Midcap 400"," 3,904 "," 4,236 ",-49 ," 8,091 ",-4 ,"-1,100 "," 5,055 ",28%,11%,-19%,NM,-19%, 2.31 ,52%,,  , 0.8 
THS,NYSE:THS,"TreeHouse Foods, Inc.",Consumer Staples,Food Products,"Russell 1000, Russell 3000, S&P Midcap 400"," 2,362 "," 2,102 ", -   ," 4,464 ", 491 ,-5 ," 1,827 ",12%,2%,4%,NM,0%, 0.63 ,47%,9.1,  , 1.3 
AFYA,NASDAQGS:AFYA,Afya Limited,Consumer Discretionary,Diversified Consumer Services,Nasdaq Composite," 2,260 ",-427 , 52 ," 1,885 ", 406 , 285 ," 2,764 ",50%,21%,37%,24%,12%, -   ,-23%,4.6, 7.9 , 0.8 
PCRX,NASDAQGS:PCRX,"Pacira BioSciences, Inc.",Healthcare,Pharmaceuticals,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Smallcap 600"," 2,559 ", 4 , -   ," 2,563 ", 55 , 126 , 585 ,41%,21%,33%,NM,27%, 1.22 ,0%,46.7, 20.3 , 4.4 
URBN,NASDAQGS:URBN,"Urban Outfitters, Inc.",Consumer Discretionary,Specialty Retail,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Midcap 400"," 2,519 ", 700 , -   ," 3,219 ", 176 ,-8 ," 1,431 ",9%,2%,4%,3%,-1%, 1.63 ,22%,18.3,  , 1.8 
MCY,NYSE:MCY,Mercury General Corporation,Financials,Insurance,"Russell 1000, Russell 3000, S&P Midcap 400"," 2,846 ", 95 , -   ," 2,941 ", 365 , 240 ," 1,901 ",8%,-3%,5%,-3%,13%, 0.39 ,3%,8.1, 11.9 , 1.5 
GT,NASDAQGS:GT,The Goodyear Tire & Rubber Company,Consumer Discretionary,Auto Components,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Midcap 400"," 2,334 "," 6,472 ", 179 ," 8,985 ", 476 ,"-1,709 "," 3,039 ",11%,4%,2%,NM,-44%, 2.16 ,72%,18.9,  , 0.8 
TCBI,NASDAQGS:TCBI,"Texas Capital Bancshares, Inc.",Financials,Banks,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Midcap 400"," 2,917 ","-7,233 ", -   ,"-4,316 ", -   , 81 ," 2,800 ",5%,2%,21%,-3%,3%, 2.07 ,168%,, 35.8 , 1.0 
BCO,NYSE:BCO,The Brink's Company,Industrials,Commercial Services & Supplies,"Russell 2000, Russell 3000, S&P Midcap 400"," 3,472 "," 2,236 ", 82 ," 5,790 ", 357 ,-12 , 172 ,16%,8%,6%,28%,-9%, 1.55 ,39%,16.2,  , 20.2 
FN,NYSE:FN,Fabrinet,Information Technology,"Electronic Equipment, Instruments & Components","Russell 2000, Russell 3000, S&P Smallcap 600"," 2,807 ",-441 , -   ," 2,366 ", 157 , 121 ," 1,001 ",11%,5%,9%,6%,13%, 0.99 ,-19%,15.1, 23.3 , 2.8 
UNIT,NASDAQGS:UNIT,Uniti Group Inc.,Real Estate,Equity Real Estate Investment Trusts (REITs),"Nasdaq Composite, Russell 2000, Russell 3000, S&P Smallcap 600"," 2,686 "," 4,783 ", 70 ," 7,539 ", 722 ,-670 ,"-1,995 ",78%,3%,10%,33%,NM, 0.99 ,63%,10.4,  ,  
MTSI,NASDAQGS:MTSI,"MACOM Technology Solutions Holdings, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,"Nasdaq Composite, Russell 2000, Russell 3000"," 3,651 ", 396 , -   ," 4,047 ", 83 ,-46 , 300 ,28%,10%,21%,NM,-15%, 2.24 ,10%,48.5,  , 12.2 
NGVT,NYSE:NGVT,Ingevity Corporation,Materials,Chemicals,"Russell 2000, Russell 3000, S&P Midcap 400"," 2,979 "," 1,166 ", -   ," 4,145 ", 376 , 180 , 617 ,32%,2%,17%,3%,34%, 2.20 ,28%,11.0, 16.6 , 4.8 
FCFS,NASDAQGS:FCFS,"FirstCash, Inc.",Financials,Consumer Finance,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Midcap 400"," 2,874 ", 727 , -   ," 3,601 ", 262 , 128 ," 1,244 ",16%,-1%,9%,-1%,10%, 0.74 ,20%,13.8, 22.5 , 2.3 
WWW,NYSE:WWW,"Wolverine World Wide, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Russell 2000, Russell 3000, S&P Smallcap 600"," 2,579 ", 704 , 11 ," 3,294 ", 118 , 33 , 766 ,12%,6%,7%,6%,4%, 1.66 ,21%,27.8, 78.4 , 3.4 
XNCR,NASDAQGM:XNCR,"Xencor, Inc.",Healthcare,Biotechnology,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Smallcap 600"," 2,642 ",-573 , -   ," 2,069 ",-88 ,-83 , 568 ,-36%,-5%,-30%,-18%,-14%, 0.95 ,-28%,,  , 4.6 
MIC,NYSE:MIC,Macquarie Infrastructure Corporation,Industrials,Transportation Infrastructure,"Russell 1000, Russell 3000"," 3,157 "," 1,612 ", 9 ," 4,778 ", 462 ,-876 ," 1,856 ",27%,-6%,-5%,-12%,-5%, 1.55 ,34%,10.3,  , 1.7 
MATX,NYSE:MATX,"Matson, Inc.",Industrials,Marine,"Dow Jones Composite Average, Dow Jones Transportation Average, Russell 2000, Russell 3000, S&P Smallcap 600"," 2,412 "," 1,047 ", -   ," 3,459 ", 287 , 123 , 892 ,15%,8%,6%,8%,15%, 1.04 ,30%,12.1, 19.6 , 2.7 
PSMT,NASDAQGS:PSMT,"PriceSmart, Inc.",Consumer Staples,Food & Staples Retailing,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Smallcap 600"," 2,713 ",-11 , 1 ," 2,703 ", 184 , 78 , 833 ,6%,4%,3%,4%,9%, 0.93 ,0%,14.7, 34.7 , 3.3 
TSEM,NASDAQGS:TSEM,Tower Semiconductor Ltd.,Information Technology,Semiconductors & Semiconductor Equipment,Nasdaq Composite," 2,631 ",-389 , -   ," 2,242 ", 301 , 72 ," 1,414 ",40%,29%,18%,36%,5%, 1.38 ,-17%,7.5, 36.5 , 1.9 
COKE,NASDAQGS:COKE,"Coca-Cola Consolidated, Inc.",Consumer Staples,Beverages,"Nasdaq Composite, Russell 2000, Russell 3000, S&P Smallcap 600"," 2,475 "," 1,015 ", 111 ," 3,601 ", 416 , 96 , 560 ,6%,1%,0%,-1%,23%, 1.03 ,28%,8.6, 25.8 , 4.4 
FHI,NYSE:FHI,"Federated Hermes, Inc.",Financials,Capital Markets,"Russell 2000, Russell 3000, S&P Midcap 400"," 2,750 ",-226 , 214 ," 2,739 ", 434 , 313 ," 1,366 ",30%,1%,20%,0%,29%, 1.17 ,-8%,6.3, 8.8 , 2.0 
DOOR,NYSE:DOOR,Masonite International Corporation,Industrials,Building Products,"Russell 2000, Russell 3000"," 2,475 ", 632 , 11 ," 3,117 ", 317 , 44 , 646 ,18%,7%,8%,19%,7%, 1.79 ,20%,9.8, 56.6 , 3.8 
